S.No,Gene Product,Gene (Common Name),Gene ID,Included in Training Set 1,Included in Training Set 2,Drug,Reference
11,Bifunctional farnesyl/geranylgeranyl diphosphate synthase,FPPS/GGPPS,PF3D7_1128400,Yes,Yes,"MMV019313 [1]
Risedronate [2]
Zoledronate [3]
AIM-1290 [4]","[1] Gisselberg, Jolyn E et al. “Specific Inhibition of the Bifunctional Farnesyl/Geranylgeranyl Diphosphate Synthase in Malaria Parasites via a New Small-Molecule Binding Site.” Cell chemical biology vol. 25,2 (2018): 185-193.e5. doi:10.1016/j.chembiol.2017.11.010
[2] Jordão, Fabiana Morandi et al. “In vitro and in vivo antiplasmodial activities of risedronate and its interference with protein prenylation in Plasmodium falciparum.” Antimicrobial agents and chemotherapy vol. 55,5 (2011): 2026-31. doi:10.1128/AAC.01820-10
[2,3] No, Joo Hwan et al. “Lipophilic analogs of zoledronate and risedronate inhibit Plasmodium geranylgeranyl diphosphate synthase (GGPPS) and exhibit potent antimalarial activity.” Proceedings of the National Academy of Sciences of the United States of America vol. 109,11 (2012): 4058-63. doi:10.1073/pnas.1118215109
[4] Kabeche, Stephanie et al. “Nonbisphosphonate inhibitors of Plasmodium falciparum FPPS/GGPPS.” Bioorganic & medicinal chemistry letters vol. 41 (2021): 127978. doi:10.1016/j.bmcl.2021.127978
Singh, Agam Prasad et al. “Lipophilic bisphosphonates are potent inhibitors of Plasmodium liver-stage growth.” Antimicrobial agents and chemotherapy vol. 54,7 (2010): 2987-93. doi:10.1128/AAC.00198-10"
12,Calcium-dependent protein kinase 1,CDPK1,PF3D7_0217500,Yes,Yes,"Imidazopyridazines [1] 
2,3,9-trisubstituted purines [2]
Indolizines [3]","Moolman, Chantalle et al. “An Update on Development of Small-Molecule Plasmodial Kinase Inhibitors.” Molecules (Basel, Switzerland) vol. 25,21 5182. 7 Nov. 2020, doi:10.3390/molecules25215182
Sharma, Manish et al. “CDPKs: The critical decoders of calcium signal at various stages of malaria parasite development.” Computational and structural biotechnology journal vol. 19 5092-5107. 6 Sep. 2021, doi:10.1016/j.csbj.2021.08.054
Kadian, Kavita, et al. ""Calcium dependent protein kinases (CDPKs): key to malaria eradication."" Current Topics in Medicinal Chemistry 17.19 (2017): 2215-2220.
Ansell, Keith H et al. “Biochemical and antiparasitic properties of inhibitors of the Plasmodium falciparum calcium-dependent protein kinase PfCDPK1.” Antimicrobial agents and chemotherapy vol. 58,10 (2014): 6032-43. doi:10.1128/AAC.02959-14
[1] Chapman, Timothy M et al. “Substituted imidazopyridazines are potent and selective inhibitors of Plasmodium falciparum calcium-dependent protein kinase 1 (PfCDPK1).” Bioorganic & medicinal chemistry letters vol. 23,10 (2013): 3064-9. doi:10.1016/j.bmcl.2013.03.017
[1] Lemercier, Guillaume et al. “Identification and characterization of novel small molecules as potent inhibitors of the plasmodial calcium-dependent protein kinase 1.” Biochemistry vol. 48,27 (2009): 6379-89. doi:10.1021/bi9005122
[1] Large, Jonathan M et al. “Imidazopyridazines as potent inhibitors of Plasmodium falciparum calcium-dependent protein kinase 1 (PfCDPK1): Preparation and evaluation of pyrazole linked analogues.” Bioorganic & medicinal chemistry letters vol. 23,21 (2013): 6019-24. doi:10.1016/j.bmcl.2013.08.010
[1] Chapman, Timothy M et al. “Optimization of an imidazopyridazine series of inhibitors of Plasmodium falciparum calcium-dependent protein kinase 1 (PfCDPK1).” Journal of medicinal chemistry vol. 57,8 (2014): 3570-87. doi:10.1021/jm500342d
[2] Kato, Nobutaka et al. “Gene expression signatures and small-molecule compounds link a protein kinase to Plasmodium falciparum motility.” Nature chemical biology vol. 4,6 (2008): 347-56. doi:10.1038/nchembio.87
[3] Lemercier, Guillaume et al. “Identification and characterization of novel small molecules as potent inhibitors of the plasmodial calcium-dependent protein kinase 1.” Biochemistry vol. 48,27 (2009): 6379-89. doi:10.1021/bi9005122"
13,Falcipain-3,FP3,PF3D7_1115400,Yes,Yes,"SZ9 [1]
Compound III [2]","[1] Rahman, Abdur et al. “Sulfonamide based pyrimidine derivatives combating Plasmodium parasite by inhibiting falcipains-2 and falcipains-3 as antimalarial agents.” RSC advances vol. 14,34 24725-24740. 7 Aug. 2024, doi:10.1039/d4ra04370g
[2] Rathi, Brijesh et al. “Functionalized hydroxyethylamine based peptide nanostructures as potential inhibitors of falcipain-3, an essential proteases of Plasmodium falciparum.” Bioorganic & medicinal chemistry vol. 21,17 (2013): 5503-9. doi:10.1016/j.bmc.2013.05.052
Sijwali, Puran S et al. “Gene disruptions demonstrate independent roles for the four falcipain cysteine proteases of Plasmodium falciparum.” Molecular and biochemical parasitology vol. 150,1 (2006): 96-106. doi:10.1016/j.molbiopara.2006.06.013
Kerr, Iain D et al. “Structures of falcipain-2 and falcipain-3 bound to small molecule inhibitors: implications for substrate specificity.” Journal of medicinal chemistry vol. 52,3 (2009): 852-7. doi:10.1021/jm8013663"
14,Proteasome subunit beta type-5,-,PF3D7_1011400,Yes,Yes,"Carmaphycin B [1]*
Bortezomib [2]*
WLL-vs [3]*","Li, Hao et al. “Assessing subunit dependency of the Plasmodium proteasome using small molecule inhibitors and active site probes.” ACS chemical biology vol. 9,8 (2014): 1869-76. doi:10.1021/cb5001263
[1] LaMonte, Gregory M et al. “Development of a Potent Inhibitor of the Plasmodium Proteasome with Reduced Mammalian Toxicity.” Journal of medicinal chemistry vol. 60,15 (2017): 6721-6732. doi:10.1021/acs.jmedchem.7b00671
[2] Reynolds, J.M., El Bissati, K., Brandenburg, J., Gunzl, A., Mamoun, C.B., 2007. Antimalarial activity of the anticancer and proteasome inhibitor bortezomib and its analog ZL3B. BMC Clin. Pharmacol. 7, 13
[3] Li, Hao et al. “Structure- and function-based design of Plasmodium-selective proteasome inhibitors.” Nature vol. 530,7589 (2016): 233-6. doi:10.1038/nature16936"
15,beta-ketoacyl-ACP synthase III,FabH / KASIII,PF3D7_0211400,Yes,Yes,"HR19 [1]
Thiolactomycin derivatives [2]","Waller, R F et al. “Nuclear-encoded proteins target to the plastid in Toxoplasma gondii and Plasmodium falciparum.” Proceedings of the National Academy of Sciences of the United States of America vol. 95,21 (1998): 12352-7. doi:10.1073/pnas.95.21.12352
[2] Prigge, Sean T et al. “The initiating steps of a type II fatty acid synthase in Plasmodium falciparum are catalyzed by pfACP, pfMCAT, and pfKASIII.” Biochemistry vol. 42,4 (2003): 1160-9. doi:10.1021/bi026847k
Lee, Patricia J et al. “Targeting the fatty acid biosynthesis enzyme, beta-ketoacyl-acyl carrier protein synthase III (PfKASIII), in the identification of novel antimalarial agents.” Journal of medicinal chemistry vol. 52,4 (2009): 952-63. doi:10.1021/jm8008103"
16,Deubiquitinase ubiquitin C-terminal hydrolase L3,UCHL3,PF3D7_1460400,Yes,Yes,"UCH0081 [1]
Peptides 60296 and 60297 [2]
MMV676603 [3]
MMV688704 [4]","[1] Imhoff, Ryan D et al. “Identification of covalent fragment inhibitors for Plasmodium falciparum UCHL3 with anti-malarial efficacy.” Bioorganic & medicinal chemistry letters vol. 94 (2023): 129458. doi:10.1016/j.bmcl.2023.129458
[2] King, Harry R et al. “Targeting the Plasmodium falciparum UCHL3 ubiquitin hydrolase using chemically constrained peptides.” Proceedings of the National Academy of Sciences of the United States of America vol. 121,21 (2024): e2322923121. doi:10.1073/pnas.2322923121
[3,4] Bharti, Hina, et al. ""Repurposing the Pathogen Box compounds for identification of potent anti-malarials against blood stages of Plasmodium falciparum with PfUCHL3 inhibitory activity."" Scientific reports 12.1 (2022): 918."
17,Heat shock protein 90,HSP90,PF3D7_0708400,Yes,Yes,"BX-2819, XL888 [1]
Geldanamycin, Harmine [2]","[1] Mansfield, Christopher R et al. “Selective targeting of Plasmodium falciparum Hsp90 disrupts the 26S proteasome.” Cell chemical biology vol. 31,4 (2024): 729-742.e13. doi:10.1016/j.chembiol.2024.02.008
[2] Stofberg, Melissa Louise et al. “Inhibitors of the Plasmodium falciparum Hsp90 towards Selective Antimalarial Drug Design: The Past, Present and Future.” Cells vol. 10,11 2849. 22 Oct. 2021, doi:10.3390/cells10112849
Murillo-Solano, Claribel, et al. ""Identification and characterization of the antiplasmodial activity of Hsp90 inhibitors."" Malaria journal 16 (2017): 1-14.
Wang, Tai et al. “Inhibition of Plasmodium falciparum Hsp90 Contributes to the Antimalarial Activities of Aminoalcohol-carbazoles.” Journal of medicinal chemistry vol. 59,13 (2016): 6344-52. doi:10.1021/acs.jmedchem.6b00591"
18,Glutathione Reductase,GR,PF3D7_1419800,Yes,Yes,Methylene blue,"Färber, P M et al. “Recombinant Plasmodium falciparum glutathione reductase is inhibited by the antimalarial dye methylene blue.” FEBS letters vol. 422,3 (1998): 311-4. doi:10.1016/s0014-5793(98)00031-3
Sarma, G. N., et al. ""Glutathione reductase of the malarial parasite Plasmodium falciparum: crystal structure and inhibitor development."" Journal of molecular biology 328.4 (2003): 893-907.
Tyagi, Chetna, et al. ""Targeting the intersubunit cavity of Plasmodium falciparum glutathione reductase by a novel natural inhibitor: Computational and experimental evidence."" The International Journal of Biochemistry & Cell Biology 61 (2015): 72-80."
19,Falcipain-2A,F2A,PF3D7_1115700,Yes,Yes,"Falstatin [1]
Gallinamide A [2]
E64 [3]
Suramin [4]
Triazole-quinoline derivatives [5]
Symplostatin 4 (FP2/3) [6]
SZ14 [7]","Shenai, B R et al. “Characterization of native and recombinant falcipain-2, a principal trophozoite cysteine protease and essential hemoglobinase of Plasmodium falciparum.” The Journal of biological chemistry vol. 275,37 (2000): 29000-10. doi:10.1074/jbc.M004459200
[1] Pandey, Kailash C et al. “Falstatin, a cysteine protease inhibitor of Plasmodium falciparum, facilitates erythrocyte invasion.” PLoS pathogens vol. 2,11 (2006): e117. doi:10.1371/journal.ppat.0020117
[3] Salawu, Emmanuel Oluwatobi. “In Silico Study Reveals How E64 Approaches, Binds to, and Inhibits Falcipain-2 of Plasmodium falciparum that Causes Malaria in Humans.” Scientific reports vol. 8,1 16380. 6 Nov. 2018, doi:10.1038/s41598-018-34622-1
[4] Marques, Adriana Fonseca et al. “Falcipain-2 inhibition by suramin and suramin analogues.” Bioorganic & medicinal chemistry vol. 21,13 (2013): 3667-73. doi:10.1016/j.bmc.2013.04.047
[5] Singh, Anju et al. “Quinoline-triazole hybrids inhibit falcipain-2 and arrest the development of Plasmodium falciparum at the trophozoite stage.” RSC advances vol. 9,67 39410-39421. 29 Nov. 2019, doi:10.1039/c9ra06571g
[6] Stolze, Sara Christina et al. “The antimalarial natural product symplostatin 4 is a nanomolar inhibitor of the food vacuole falcipains.” Chemistry & biology vol. 19,12 (2012): 1546-55. doi:10.1016/j.chembiol.2012.09.020
[7] Rahman, Abdur et al. “Sulfonamide based pyrimidine derivatives combating Plasmodium parasite by inhibiting falcipains-2 and falcipains-3 as antimalarial agents.” RSC advances vol. 14,34 24725-24740. 7 Aug. 2024, doi:10.1039/d4ra04370g
Stoye, Alexander et al. “Falcipain Inhibitors Based on the Natural Product Gallinamide A Are Potent in Vitro and in Vivo Antimalarials.” Journal of medicinal chemistry vol. 62,11 (2019): 5562-5578. doi:10.1021/acs.jmedchem.9b00504
Ghosh, Subham et al. “Design, molecular docking, drug-likeness, and molecular dynamics studies of 1,2,4-trioxane derivatives as novel Plasmodium falciparum falcipain-2 (FP-2) inhibitors.” Biotechnologia vol. 102,3 257-275. 30 Sep. 2021, doi:10.5114/bta.2021.108722
Machin, Jonathan M et al. “The complex of Plasmodium falciparum falcipain-2 protease with an (E)-chalcone-based inhibitor highlights a novel, small, molecule-binding site.” Malaria journal vol. 18,1 388. 2 Dec. 2019, doi:10.1186/s12936-019-3043-0"
20,Histone deacetylase 1,HDAC1,PF3D7_0925700,Yes,Yes,"JX21108 [1]
Quisinostat [2]
JX35 [3]
Compound 1u [4]
Panabinostat [5]
FNDR-20123 [6]
Compound 2h [7]","[1,2] Huang, Zhenghui et al. “A novel multistage antiplasmodial inhibitor targeting Plasmodium falciparum histone deacetylase 1.” Cell discovery vol. 6,1 93. 11 Dec. 2020, doi:10.1038/s41421-020-00215-4
[3] Wang, Manjiong et al. “Drug Repurposing of Quisinostat to Discover Novel Plasmodium falciparum HDAC1 Inhibitors with Enhanced Triple-Stage Antimalarial Activity and Improved Safety.” Journal of medicinal chemistry vol. 65,5 (2022): 4156-4181. doi:10.1021/acs.jmedchem.1c01993
[4] Diedrich, Daniela et al. “One-pot, multi-component synthesis and structure-activity relationships of peptoid-based histone deacetylase (HDAC) inhibitors targeting malaria parasites.” European journal of medicinal chemistry vol. 158 (2018): 801-813. doi:10.1016/j.ejmech.2018.09.018
[5] Engel, Jessica A et al. “Profiling the anti-protozoal activity of anti-cancer HDAC inhibitors against Plasmodium and Trypanosoma parasites.” International journal for parasitology. Drugs and drug resistance vol. 5,3 117-26. 20 Jun. 2015, doi:10.1016/j.ijpddr.2015.05.004
[6] Potluri, Vijay et al. “Discovery of FNDR-20123, a histone deacetylase inhibitor for the treatment of Plasmodium falciparum malaria.” Malaria journal vol. 19,1 365. 12 Oct. 2020, doi:10.1186/s12936-020-03421-3
[7] Mackwitz, Marcel K W et al. “Structure-Activity and Structure-Toxicity Relationships of Peptoid-Based Histone Deacetylase Inhibitors with Dual-Stage Antiplasmodial Activity.” ChemMedChem vol. 14,9 (2019): 912-926. doi:10.1002/cmdc.201800808"
21,M17 leucyl aminopeptidase,M17LAP,PF3D7_1446200,Yes,Yes,Compound 3 [1],"[1] Edgar, Rebecca C S et al. “Genetic and chemical validation of Plasmodium falciparum aminopeptidase PfA-M17 as a drug target in the hemoglobin digestion pathway.” eLife vol. 11 e80813. 13 Sep. 2022, doi:10.7554/eLife.80813
Dabburu, Govinda Rao et al. “Designing dual inhibitors against potential drug targets of Plasmodium falciparum -M17 Leucyl Aminopeptidase and Plasmepsins.” Journal of biomolecular structure & dynamics vol. 41,16 (2023): 8026-8041. doi:10.1080/07391102.2022.2129452
Skinner-Adams, Tina S et al. “Identification of phosphinate dipeptide analog inhibitors directed against the Plasmodium falciparum M17 leucine aminopeptidase as lead antimalarial compounds.” Journal of medicinal chemistry vol. 50,24 (2007): 6024-31. doi:10.1021/jm070733v"
