UniProtID,N_Pockets,Score,Probability,Gene,Length,Protein
A0A143ZW11,2,7.85,0.417,PF3D7_0832600,317.0,Stevor
A0A143ZW95,7,15.6,0.757,PF3D7_0608310,453.0,"Sorting assembly machinery 50 kDa subunit, putative"
A0A143ZWA3,5,8.89,0.476,PF3D7_0905700,319.0,"Autophagy-related protein 3, putative"
A0A143ZWD4,5,5.38,0.255,PF3D7_0700800,231.0,Pfmc-2TM Maurer's cleft two transmembrane protein
A0A143ZWD5,2,1.71,0.03,PF3D7_1000500,369.0,Rifin
A0A143ZWE7,2,1.58,0.024,PF3D7_0710400,365.0,"DNA repair protein RAD14, putative (EC 4.2.99.18)"
A0A143ZWE8,0,0.0,0.0,PF3D7_0203700,439.0,"Protein MAK16, putative"
A0A143ZWF7,0,0.0,0.0,PF3D7_0720900,265.0,"Tetratricopeptide repeat protein, putative"
A0A143ZWG8,39,14.43,0.722,PF3D7_0800700,1925.0,Surface-associated interspersed protein 8.3 (SURFIN 8.3)
A0A143ZWH6,0,0.0,0.0,PF3D7_0205700,222.0,"RNA-binding protein, putative"
A0A143ZWH7,4,2.98,0.097,PF3D7_0806900,379.0,Uncharacterized protein
A0A143ZWI7,1,4.49,0.191,PF3D7_0832000,303.0,Stevor
A0A143ZWJ1,6,3.89,0.153,PF3D7_0207300,679.0,Serine repeat antigen 8 (EC 3.4.22.-)
A0A143ZWJ4,2,1.24,0.012,PF3D7_0833100,368.0,Rifin
A0A143ZWL4,10,19.88,0.846,PF3D7_1371700,561.0,non-specific serine/threonine protein kinase (EC 2.7.11.1)
A0A143ZWL6,30,11.37,0.608,PF3D7_0210200,2588.0,Uncharacterized protein
A0A143ZWL7,4,16.97,0.792,PF3D7_1008700,445.0,Tubulin beta chain
A0A143ZWM3,1,10.23,0.55,PF3D7_0209300,240.0,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, apicoplast"
A0A143ZWN4,0,0.0,0.0,PF3D7_0701100,329.0,Rifin
A0A143ZWP5,4,23.87,0.893,PF3D7_0713200,224.0,Exported protein family 1
A0A143ZWS3,30,28.13,0.923,PF3D7_0213600,2418.0,Cleavage/polyadenylation specificity factor A subunit C-terminal domain-containing protein
A0A143ZWS9,2,3.55,0.131,PF3D7_0810700,141.0,Uncharacterized protein
A0A143ZWT2,17,8.8,0.471,PF3D7_0216300,1381.0,Heptatricopeptide repeat-containing protein
A0A143ZWU2,5,2.07,0.046,PF3D7_1016300,824.0,Glycophorin-binding protein 130
A0A143ZWV2,2,1.32,0.014,PF3D7_0833200,356.0,Rifin
A0A143ZWW4,6,16.58,0.781,PF3D7_0217500,524.0,Calcium-dependent protein kinase 1
A0A143ZX23,1,1.66,0.028,PF3D7_0314100,198.0,"Vesicle transport v-SNARE protein, putative"
A0A143ZX41,1,1.23,0.012,PF3D7_0206800,272.0,Merozoite surface protein 2
A0A143ZX45,25,24.15,0.896,PF3D7_0619000,1797.0,FPL domain-containing protein
A0A143ZX62,3,16.46,0.779,PF3D7_1006300,143.0,Uncharacterized protein
A0A143ZX69,2,1.93,0.04,PF3D7_1327900,138.0,Uncharacterized protein
A0A143ZX72,2,2.71,0.081,PF3D7_1006100,178.0,"CCR4-NOT transcription complex subunit 5, putative"
A0A143ZXA3,3,9.9,0.532,PF3D7_0715400,219.0,"Secreted ookinete protein, putative"
A0A143ZXB3,2,35.86,0.954,PF3D7_1014000,344.0,GDP-L-fucose synthase (EC 1.1.1.271)
A0A143ZXB4,1,4.62,0.2,PF3D7_0729600,163.0,COX assembly mitochondrial protein
A0A143ZXB9,2,1.32,0.015,PF3D7_0109950,167.0,Uncharacterized protein
A0A143ZXC4,0,0.0,0.0,PF3D7_0804700,1998.0,Uncharacterized protein
A0A143ZXD4,2,2.82,0.088,PF3D7_0812200,404.0,"Trypsin-like serine protease, putative"
A0A143ZXE1,3,9.57,0.515,PF3D7_0529400,1582.0,Uncharacterized protein
A0A143ZXE3,0,0.0,0.0,PF3D7_0832400,304.0,Stevor
A0A143ZXE4,2,2.97,0.096,PF3D7_1038000,120.0,Antigen UB05
A0A143ZXF2,1,0.89,0.004,PF3D7_0216700,1383.0,Putative autophagy-related protein 11
A0A143ZXG1,2,7.95,0.422,PF3D7_0929700,350.0,Uncharacterized protein
A0A143ZXG5,1,0.89,0.004,PF3D7_1040600,326.0,Rifin
A0A143ZXG9,42,44.29,0.971,PF3D7_1019500,1241.0,Uncharacterized protein
A0A143ZXH0,0,0.0,0.0,PF3D7_1351800,235.0,Glutaredoxin domain-containing protein
A0A143ZXI1,0,0.0,0.0,PF3D7_0700400,300.0,Stevor
A0A143ZXJ2,25,11.93,0.632,PF3D7_0706100,1529.0,Fam-f protein
A0A143ZXK1,2,3.86,0.15,PF3D7_0718600,1114.0,Uncharacterized protein
A0A143ZXL1,0,0.0,0.0,PF3D7_0732800,442.0,"Erythrocyte membrane protein 1 (PfEMP1), exon 2"
A0A143ZXM1,6,4.4,0.185,PF3D7_0806100,675.0,CCAAT-box DNA binding protein subunit B
A0A143ZXM2,2,12.2,0.642,PF3D7_1021800,2074.0,Schizont egress antigen-1
A0A143ZXP1,1,2.92,0.093,PF3D7_0832900,304.0,Stevor
A0A143ZXR3,2,21.32,0.868,PF3D7_1110700,378.0,"Actin-like protein, putative"
A0A143ZXW4,5,2.42,0.065,PF3D7_0221000,302.0,Uncharacterized protein
A0A143ZXY0,0,0.0,0.0,PF3D7_1013400,797.0,Uncharacterized protein
A0A143ZXZ0,4,3.11,0.105,PF3D7_0207100,1754.0,Uncharacterized protein
A0A143ZY21,0,0.0,0.0,PF3D7_0210100,96.0,Large ribosomal subunit protein eL43
A0A143ZY25,1,10.35,0.556,PF3D7_0621350,138.0,"Protein SYS1, putative"
A0A143ZY29,11,9.76,0.525,PF3D7_1005500,1579.0,"Regulator of nonsense transcripts 1, putative"
A0A143ZY51,7,27.71,0.922,PF3D7_1038700,360.0,Uncharacterized protein
A0A143ZY53,24,20.71,0.86,PF3D7_0700100,2286.0,"Erythrocyte membrane protein 1, PfEMP1"
A0A143ZY58,2,2.92,0.093,PF3D7_1020900,181.0,ADP-ribosylation factor 1
A0A143ZY63,5,12.0,0.634,PF3D7_1009600,488.0,Protein phosphatase (EC 3.1.3.16)
A0A143ZY73,1,5.97,0.293,PF3D7_0716400,174.0,"Transcription initiation factor IIA subunit 1, putative"
A0A143ZY93,5,10.56,0.568,PF3D7_0805600,308.0,"PAP2-like protein, putative (EC 3.1.3.4)"
A0A143ZYA4,3,12.55,0.655,PF3D7_0818600,302.0,"BEM46-like protein, putative"
A0A143ZYA5,3,3.5,0.128,PF3D7_1025900,1331.0,Uncharacterized protein
A0A143ZYA8,6,10.14,0.545,PF3D7_1110100,850.0,C2 domain-containing protein
A0A143ZYB5,1,0.95,0.005,PF3D7_0832500,326.0,Rifin
A0A143ZYC1,5,39.0,0.961,PF3D7_1027900,285.0,Palmitoyltransferase (EC 2.3.1.225)
A0A143ZYC4,6,11.73,0.623,PF3D7_1129500,611.0,"A/G-specific adenine glycosylase, putative (EC 3.2.2.20)"
A0A143ZYC7,7,8.96,0.48,PF3D7_0221700,493.0,Uncharacterized protein
A0A143ZYI5,5,14.75,0.733,PF3D7_1112200,355.0,"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial"
A0A143ZYI9,1,1.81,0.034,PF3D7_1135500,359.0,RRM domain-containing protein
A0A143ZYJ4,3,2.14,0.05,PF3D7_1034800,336.0,Uncharacterized protein
A0A143ZYK0,0,0.0,0.0,PF3D7_0217400,148.0,Uncharacterized protein
A0A143ZYL5,0,0.0,0.0,PF3D7_1036900,1681.0,Uncharacterized protein
A0A143ZYQ2,0,0.0,0.0,PF3D7_1119200,150.0,DUF1764 domain-containing protein
A0A143ZYR6,4,1.67,0.028,PF3D7_1120000,1070.0,Uncharacterized protein
A0A143ZYU5,1,2.23,0.054,PF3D7_1124200,419.0,"Thioredoxin-like protein, putative"
A0A143ZYV4,3,8.09,0.431,PF3D7_1145600,629.0,"TMEM65 domain-containing protein, putative"
A0A143ZYV5,0,0.0,0.0,PF3D7_1125200,238.0,Ubiquitin-like domain-containing protein
A0A143ZYW1,11,9.26,0.496,PF3D7_1128900,622.0,Uncharacterized protein
A0A143ZYZ7,36,24.74,0.901,PF3D7_1037000,2226.0,DNA-directed DNA polymerase (EC 2.7.7.7)
A0A143ZZ61,3,9.87,0.53,PF3D7_1015900,446.0,Enolase
A0A143ZZ84,2,1.45,0.019,PF3D7_1120300,529.0,Mitochondrial inner membrane magnesium transporter MIT1
A0A143ZZC6,3,10.07,0.542,PF3D7_1111600,744.0,"Endonuclease/exonuclease/phosphatase family protein, putative (EC 3.1.3.56)"
A0A143ZZC7,2,1.89,0.038,PF3D7_1035200,585.0,S-antigen protein
A0A143ZZD7,1,1.44,0.019,PF3D7_1036400,1162.0,Liver stage antigen 1
A0A143ZZE4,7,6.3,0.316,PF3D7_1126300,617.0,"DnaJ protein, putative"
A0A143ZZF4,0,0.0,0.0,PF3D7_1206900,657.0,Uncharacterized protein
A0A143ZZG2,0,0.0,0.0,PF3D7_1026800,263.0,Small ribosomal subunit protein uS2
A0A143ZZG4,3,12.38,0.649,PF3D7_1207900,394.0,RAP domain-containing protein
A0A143ZZG7,0,0.0,0.0,PF3D7_1146300,244.0,Uncharacterized protein
A0A143ZZH9,0,0.0,0.0,PF3D7_1144100,123.0,Large ribosomal subunit protein mL49
A0A143ZZK9,13,11.37,0.608,PF3D7_1211900,1264.0,P-type sodium-transporting ATPase4 (PfATP4) (PfATPase4) (EC 7.2.2.3) (P-type cation-transporter ATPase4)
A0A143ZZL4,3,7.33,0.383,PF3D7_1205300,314.0,Plasmodium RESA N-terminal domain-containing protein
A0A143ZZN7,15,14.3,0.718,PF3D7_1106300,733.0,"Exonuclease, putative (EC 3.1.4.1)"
A0A143ZZQ0,2,14.34,0.72,PF3D7_1216000,618.0,"Serine--tRNA ligase, cytoplasmic"
A0A143ZZR4,1,1.81,0.034,PF3D7_1036700,210.0,"Phosducin-like protein 2, putative"
A0A143ZZR8,1,4.47,0.19,PF3D7_1372300,206.0,Plasmodium RESA N-terminal domain-containing protein
A0A143ZZT8,9,8.98,0.481,PF3D7_0715300,517.0,"Calcium/calmodulin-dependent protein kinase, putative (EC 2.7.11.17)"
A0A143ZZU2,20,51.87,0.982,PF3D7_1021400,619.0,Transmembrane 9 superfamily member
A0A143ZZU6,0,0.0,0.0,PF3D7_1112900,363.0,Growth arrest-specific protein 8 domain-containing protein
A0A143ZZW7,1,4.55,0.195,PF3D7_0812220,293.0,"GTPase, putative (EC 3.6.5.1)"
A0A143ZZX1,25,20.05,0.849,PF3D7_1223600,1560.0,Uncharacterized protein
A0A143ZZX7,2,3.99,0.159,PF3D7_0832300,259.0,Plasmodium RESA N-terminal domain-containing protein
A0A143ZZY8,31,23.59,0.89,PF3D7_0833500,2269.0,"Erythrocyte membrane protein 1, PfEMP1"
A0A143ZZZ3,8,10.58,0.568,PF3D7_1225600,781.0,Uncharacterized protein
A0A143ZZZ9,6,25.2,0.904,PF3D7_1105700,506.0,RNA-splicing ligase RtcB homolog
A0A144A022,9,4.6,0.199,PF3D7_1107700,643.0,Pescadillo homolog
A0A144A024,0,0.0,0.0,PF3D7_1214500,186.0,Secreted ookinete protein
A0A144A026,5,16.91,0.79,PF3D7_1228600,743.0,Merozoite surface protein 9
A0A144A039,7,4.95,0.223,PF3D7_1031400,945.0,OTU-like cysteine protease
A0A144A041,2,1.65,0.028,PF3D7_1200610,119.0,VAR2CSA uORF
A0A144A060,23,20.54,0.857,PF3D7_1202500,1079.0,Trimethylguanosine synthase (Cap-specific guanine-N(2) methyltransferase)
A0A144A0A3,30,27.15,0.919,PF3D7_1230000,2001.0,"TBC domain-containing protein, putative"
A0A144A0A4,3,2.05,0.045,PF3D7_1116200,219.0,Pyridoxal 5-phosphate synthase subunit PDX2
A0A144A0B2,2,4.93,0.222,PF3D7_1038300,366.0,Leucine-rich repeat protein
A0A144A0B3,18,26.26,0.912,PF3D7_1117200,1821.0,Tetratricopeptide repeat protein
A0A144A0B4,1,1.68,0.029,PF3D7_1231000,976.0,BED-type domain-containing protein
A0A144A0C0,3,30.08,0.933,PF3D7_1237600,502.0,"Periodic tryptophan protein 1, putative"
A0A144A0C5,2,8.34,0.445,PF3D7_0203000,1979.0,Repetitive organellar protein
A0A144A0G8,5,24.41,0.898,PF3D7_1213800,746.0,Proline--tRNA ligase
A0A144A0I2,0,0.0,0.0,PF3D7_1238000,148.0,"COPI associated protein, putative"
A0A144A0J8,29,24.62,0.9,PF3D7_0208900,2508.0,Male gametocyte surface protein P230p
A0A144A0J9,18,31.4,0.939,PF3D7_1202600,2180.0,NFACT RNA-binding domain-containing protein
A0A144A0M5,0,0.0,0.0,PF3D7_1248200,357.0,Pre-mRNA-splicing factor RBM22 homolog
A0A144A0N0,0,0.0,0.0,PF3D7_1243500,226.0,"Vacuolar-sorting protein SNF7, putative"
A0A144A0N6,1,1.74,0.031,PF3D7_1249200,180.0,Uncharacterized protein
A0A144A0S1,5,4.29,0.177,PF3D7_1247600,494.0,Uroporphyrinogen-III synthase (EC 4.2.1.75)
A0A144A0T7,0,0.0,0.0,PF3D7_1254600,302.0,Stevor
A0A144A0T9,1,2.89,0.092,PF3D7_1116900,212.0,Uncharacterized protein
A0A144A0U0,0,0.0,0.0,PF3D7_1247900,212.0,Probable U3 small nucleolar RNA-associated protein 11
A0A144A0U1,8,24.61,0.9,PF3D7_1249600,848.0,Leucine-rich repeat protein
A0A144A0U2,0,0.0,0.0,PF3D7_0219200,58.0,Small ribosomal subunit protein eS30
A0A144A0U7,10,12.31,0.646,PF3D7_1213900,1137.0,Translation initiation factor eIF2B subunit epsilon (eIF2B GDP-GTP exchange factor subunit epsilon)
A0A144A0V8,6,10.01,0.538,PF3D7_1249900,639.0,rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)
A0A144A0W6,5,20.5,0.856,PF3D7_1149300,560.0,non-specific serine/threonine protein kinase (EC 2.7.11.1)
A0A144A0W9,3,1.92,0.039,PF3D7_1402700,653.0,"U2 snRNP-associated SURP motif-containing protein, putative"
A0A144A0Z5,2,2.98,0.097,PF3D7_1247700,387.0,Uncharacterized protein
A0A144A0Z6,12,10.16,0.546,PF3D7_1202000,880.0,ATP-dependent RNA helicase (EC 3.6.4.13)
A0A144A102,2,1.89,0.038,PF3D7_1141200,111.0,"ATP synthase-associated protein, putative"
A0A144A108,9,3.78,0.146,PF3D7_1233300,1413.0,Pentatricopeptide repeat-containing protein 2
A0A144A114,0,0.0,0.0,PF3D7_1204000,163.0,Pre-mRNA-splicing factor SYF2
A0A144A118,4,2.49,0.069,PF3D7_1249700,908.0,Uncharacterized protein
A0A144A134,7,14.31,0.719,PF3D7_1206100,444.0,IMP-specific 5'-nucleotidase 1 (PfISN1) (EC 3.1.3.99)
A0A144A137,1,2.02,0.044,PF3D7_1403400,647.0,Dynein regulatory complex protein 1 C-terminal domain-containing protein
A0A144A139,0,0.0,0.0,PF3D7_1144200,319.0,Coiled-coil domain-containing protein
A0A144A140,7,28.32,0.924,PF3D7_1251700,559.0,Tryptophan--tRNA ligase (EC 6.1.1.2)
A0A144A153,9,3.24,0.112,PF3D7_1405900,1109.0,"RNA-binding protein, putative"
A0A144A160,1,1.05,0.006,PF3D7_1238400,232.0,Uncharacterized protein
A0A144A171,3,19.36,0.838,PF3D7_1407900,452.0,Plasmepsin I
A0A144A181,9,10.98,0.589,PF3D7_1401100,492.0,Uncharacterized J domain-containing protein
A0A144A197,3,2.52,0.07,PF3D7_1409200,198.0,Uncharacterized protein
A0A144A1B2,6,8.11,0.432,PF3D7_1411600,658.0,GTP-binding protein Obg1
A0A144A1B3,8,8.98,0.481,PF3D7_1416100,937.0,Protein SEY1 homolog
A0A144A1B9,13,18.81,0.83,PF3D7_1232500,1071.0,"CG2-related protein, putative"
A0A144A1C7,9,9.13,0.489,PF3D7_1233400,616.0,Abscisic acid G-protein coupled receptor-like domain-containing protein
A0A144A1E5,4,11.37,0.608,PF3D7_1247000,367.0,"F-box only protein 9 homolog, putative"
A0A144A1E9,3,3.94,0.156,PF3D7_1248000,220.0,tRNA-intron lyase (EC 4.6.1.16)
A0A144A1F0,3,3.63,0.136,PF3D7_1019300,1772.0,"Zinc finger protein, putative"
A0A144A1F1,3,3.94,0.156,PF3D7_1217200,1119.0,"Multiple RNA-binding domain-containing protein 1, putative"
A0A144A1F3,16,10.83,0.581,PF3D7_1420500,1176.0,"Protein GPR89, putative"
A0A144A1F5,33,24.91,0.902,PF3D7_1415500,1148.0,Uncharacterized protein
A0A144A1J3,2,5.01,0.227,PF3D7_1251000,186.0,"HSP20-like chaperone, putative"
A0A144A1J6,5,2.84,0.089,PF3D7_1419300,211.0,Glutathione S-transferase
A0A144A1K0,24,12.42,0.65,PF3D7_1240900,2287.0,"Erythrocyte membrane protein 1, PfEMP1"
A0A144A1K5,8,6.63,0.336,PF3D7_1413600,523.0,Uncharacterized protein
A0A144A1Q0,0,0.0,0.0,PF3D7_1145900,294.0,Uncharacterized protein
A0A144A1R5,5,20.01,0.848,PF3D7_1246200,376.0,Actin-1
A0A144A1U0,0,0.0,0.0,PF3D7_1221100,260.0,Uncharacterized protein
A0A144A1U3,0,0.0,0.0,PF3D7_1232800,142.0,Uncharacterized protein
A0A144A1V6,0,0.0,0.0,PF3D7_1408300,150.0,Uncharacterized protein
A0A144A1W6,6,11.38,0.608,PF3D7_1203000,1189.0,Origin recognition complex subunit 1
A0A144A1X7,15,9.29,0.498,PF3D7_1037200,708.0,Uncharacterized protein
A0A144A1Y0,2,7.79,0.413,PF3D7_1434200,149.0,Calmodulin
A0A144A207,4,4.29,0.177,PF3D7_1440600,463.0,"Protein SOC3, putative"
A0A144A213,2,10.25,0.551,PF3D7_1437800,184.0,Trafficking protein particle complex subunit 5
A0A144A260,3,1.95,0.04,PF3D7_1446700,357.0,Uncharacterized protein
A0A144A297,4,2.97,0.096,PF3D7_1217300,961.0,GTPase Der (GTP-binding protein EngA)
A0A144A2C9,2,4.54,0.195,PF3D7_1220700,885.0,Uncharacterized protein
A0A144A2E0,11,19.9,0.847,PF3D7_1451400,1304.0,NAD-dependent protein deacetylase Sir2B
A0A144A2E6,4,5.05,0.23,PF3D7_1416000,220.0,Uncharacterized protein
A0A144A2G5,13,13.72,0.697,PF3D7_1116700,700.0,Dipeptidyl aminopeptidase 1
A0A144A2H0,13,22.67,0.882,PF3D7_1454400,777.0,Aminopeptidase P (PfAPP) (EC 3.4.11.9) (Xaa-Pro aminopeptidase)
A0A144A2J0,3,7.22,0.376,PF3D7_1421400,288.0,DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6)
A0A144A2J9,5,2.17,0.051,PF3D7_1434300,564.0,Hsp70-Hsp90 organising protein1
A0A144A2K5,8,7.92,0.421,PF3D7_1120600,2545.0,Uncharacterized protein
A0A144A2M6,14,6.16,0.306,PF3D7_1229900,690.0,Transglutaminase-like domain-containing protein
A0A144A2N6,11,7.99,0.425,PF3D7_1230900,937.0,non-specific serine/threonine protein kinase (EC 2.7.11.1)
A0A144A2N8,0,0.0,0.0,PF3D7_1461200,183.0,"U3 small nucleolar ribonucleoprotein protein IMP3, putative"
A0A144A2Q6,3,17.61,0.805,PF3D7_1467600,2104.0,Uncharacterized protein
A0A144A2R0,4,15.15,0.747,PF3D7_1232900,473.0,"Nucleotidyltransferase, putative (EC 2.7.7.-)"
A0A144A2R4,2,27.4,0.92,PF3D7_1455200,205.0,"Methyltransferase, putative"
A0A144A2S8,13,3.85,0.15,PF3D7_1235900,1031.0,"Pre-mRNA-splicing factor SYF1, putative"
A0A144A2T4,7,24.74,0.901,PF3D7_1467300,488.0,"1-deoxy-D-xylulose 5-phosphate reductoisomerase, apicoplastic"
A0A144A2U1,10,24.8,0.901,PF3D7_1467000,901.0,"Magnesium transporter, putative"
A0A144A2U7,2,1.42,0.018,PF3D7_1470600,533.0,"RAP protein, putative"
A0A144A2V3,2,9.29,0.498,PF3D7_1131700,136.0,Plasmodium falciparum erythrocyte membrane protein 1 acidic terminal segment domain-containing protein
A0A144A308,1,8.05,0.428,PF3D7_1136500,324.0,Casein kinase I
A0A144A322,1,2.52,0.07,PF3D7_1245500,460.0,Uncharacterized protein
A0A144A323,8,25.75,0.908,PF3D7_1419800,546.0,Glutathione reductase
A0A144A325,43,11.93,0.632,PF3D7_1477600,1953.0,Surface-associated interspersed protein 14.1 (SURFIN 14.1)
A0A144A366,8,31.16,0.937,PF3D7_1412800,410.0,Glycylpeptide N-tetradecanoyltransferase
A0A144A372,1,1.37,0.016,PF3D7_1250500,157.0,AP complex subunit sigma
A0A144A382,5,17.31,0.8,PF3D7_1251500,705.0,"ATP-dependent RNA helicase DRS1, putative (EC 3.6.4.13)"
A0A144A3A5,1,0.63,0.001,PF3D7_1428800,368.0,"Transcription initiation TFIID-like, putative"
A0A144A3E5,0,0.0,0.0,PF3D7_1479900,304.0,Stevor
A0A144A3E6,2,4.08,0.164,PF3D7_1432700,224.0,protein-L-isoaspartate(D-aspartate) O-methyltransferase (EC 2.1.1.77)
A0A144A3F9,10,6.64,0.337,PF3D7_1404800,954.0,Uncharacterized protein
A0A144A3H3,0,0.0,0.0,PF3D7_1425300,307.0,Uncharacterized protein
A0A144A3J2,4,7.02,0.363,PF3D7_1205000,781.0,Uncharacterized protein
A0A144A3J8,5,3.43,0.124,PF3D7_1468400,862.0,"Zinc finger protein, putative"
A0A144A3K9,9,8.23,0.439,PF3D7_1438800,699.0,"OST-HTH associated domain protein, putative"
A0A144A3L0,13,15.66,0.759,PF3D7_1409700,848.0,Heptatricopeptide repeat-containing protein
A0A144A3N9,5,18.04,0.813,PF3D7_1412500,376.0,Actin-2
A0A144A3Q5,0,0.0,0.0,PF3D7_1441800,229.0,Putative vacuolar protein sorting-associated protein 60
A0A144A3R0,2,1.58,0.025,PF3D7_1434100,407.0,Queuine tRNA-ribosyltransferase-like protein
A0A144A3T1,3,11.32,0.606,PF3D7_1444800,369.0,Fructose-bisphosphate aldolase
A0A144A3U7,3,7.19,0.374,PF3D7_1446900,383.0,"Glutaminyl-peptide cyclotransferase, putative (EC 2.3.2.5)"
A0A144A3X6,5,6.65,0.338,PF3D7_1218100,463.0,Uncharacterized protein
A0A144A431,0,0.0,0.0,PF3D7_1427900,281.0,Acidic leucine-rich nuclear phosphoprotein 32-related protein
A0A144A465,2,1.53,0.022,PF3D7_1449300,684.0,"Transcription factor IIIb subunit, putative"
A0A144A488,39,13.22,0.678,PF3D7_1229800,2274.0,"Myosin J, putative"
A0A144A4C1,13,10.21,0.549,PF3D7_1232700,833.0,Mic1 domain-containing protein
A0A144A4E0,0,0.0,0.0,PF3D7_1457200,104.0,Thioredoxin 1
A0A144A4G4,5,4.6,0.199,PF3D7_1439900,248.0,Triosephosphate isomerase
A0A144A4I8,2,6.07,0.3,PF3D7_1238700,505.0,"BTB/POZ domain-containing protein, putative"
A0A144A4N4,2,1.58,0.024,PF3D7_1477100,194.0,Apicoplast integral membrane protein
A0A144A4T0,26,17.28,0.8,PF3D7_1472200,2251.0,histone deacetylase (EC 3.5.1.98)
A0A144A4T5,3,2.59,0.074,PF3D7_1248300,137.0,BAP29/BAP31 transmembrane domain-containing protein
A0A144A4V4,2,4.04,0.161,PF3D7_1250300,297.0,Vacuolar protein sorting-associated protein 26
A0A144A4X8,5,3.82,0.148,PF3D7_1252500,394.0,Pv-fam-d protein
A0A144A524,1,2.14,0.05,PF3D7_1460900,274.0,"Apicoplast ribosomal protein S10, putative"
A0A144A544,16,29.84,0.933,PF3D7_1404600,865.0,Adenylyl cyclase alpha (EC 4.6.1.1)
A0A144A595,1,1.1,0.007,PF3D7_1409500,875.0,Uncharacterized protein
A0A144A5C9,14,10.08,0.542,PF3D7_1471900,2128.0,Calpain catalytic domain-containing protein
A0A144A5J7,0,0.0,0.0,PF3D7_1477200,232.0,Uncharacterized protein
A0A144A659,7,7.15,0.372,PF3D7_1438700,452.0,DNA primase small subunit
A0A144A6G1,0,0.0,0.0,PF3D7_1446800,205.0,Heme ligase
A0A144A6N0,18,17.97,0.812,PF3D7_1453800,910.0,Bifunctional glucose-6-phosphate 1-dehydrogenase/6-phosphogluconolactonase
A0A144A6T9,2,16.54,0.781,PF3D7_1459700,287.0,NAD(P)H-hydrate epimerase
A0A144A7A0,0,0.0,0.0,PF3D7_1475800,309.0,Uncharacterized protein
A0A146LZZ4,5,18.1,0.815,PF3D7_0420600,593.0,Uncharacterized protein
A0A146M145,2,1.78,0.033,PF3D7_0906890,139.0,Uncharacterized protein
